date,temp_max,temp_min,wind_speed,pressure,dew_point,relative_humidity,pm25
2022-06-30,27.6,22.9,4.0,950.5,23.2,91.0,16.0
2022-07-01,29.9,23.9,4.5,949.7,24.1,86.0,25.0
2022-07-02,29.4,23.9,5.3,949.3,23.8,87.0,33.0
2022-07-03,31.0,24.9,4.7,950.0,24.4,84.0,16.0
2022-07-04,30.7,24.9,5.4,949.5,24.4,83.0,18.0
2022-07-05,31.6,26.2,5.2,950.5,24.6,81.0,26.0
2022-07-06,31.4,24.3,7.8,954.0,24.3,82.0,36.0
2022-07-07,31.1,24.7,4.3,953.5,24.4,82.0,16.0
2022-07-08,30.5,24.5,6.8,951.6,24.1,81.0,14.0
2022-07-09,30.2,24.4,5.8,950.5,23.6,83.0,14.0
2022-07-10,30.5,25.0,4.9,950.7,23.8,80.0,6.0
2022-07-11,31.9,25.1,5.8,951.4,23.9,78.0,11.0
2022-07-12,32.0,25.5,3.9,950.3,24.2,80.0,7.0
2022-07-13,31.7,25.4,5.1,948.9,24.3,79.0,5.0
2022-07-14,32.9,25.3,7.6,949.7,23.9,76.0,9.0
2022-07-15,32.4,25.3,5.2,951.3,24.6,78.0,6.0
2022-07-16,32.2,25.4,6.8,952.3,24.2,78.0,9.0
2022-07-17,32.4,25.3,7.6,953.3,24.2,76.0,12.0
2022-07-18,31.0,25.4,7.9,952.0,24.0,78.0,15.0
2022-07-19,30.3,24.9,5.5,950.4,24.1,83.0,18.0
2022-07-20,30.6,24.3,6.7,951.1,23.8,85.0,21.0
2022-07-21,28.5,24.1,4.3,952.8,23.9,87.0,29.0
2022-07-22,29.2,25.0,4.9,954.0,24.1,84.0,28.0
2022-07-23,30.4,24.8,5.0,953.4,23.9,79.0,6.0
2022-07-24,28.5,23.3,7.5,954.5,23.0,83.0,4.0
2022-07-25,29.2,23.4,8.8,956.4,22.7,80.0,7.0
2022-07-26,29.2,23.2,7.1,956.5,23.2,84.0,14.0
2022-07-27,29.5,22.7,4.8,955.9,23.6,87.0,16.0
2022-07-28,29.2,23.5,3.9,956.0,23.7,87.0,13.0
2022-07-29,28.4,23.5,4.2,954.7,24.0,92.0,24.0
2022-07-30,28.6,23.3,4.0,952.2,24.0,92.0,22.0
2022-07-31,27.0,23.7,4.9,950.6,24.0,95.0,15.0
2022-08-01,26.0,23.6,4.5,951.0,23.9,95.0,26.0
2022-08-02,26.9,23.3,4.5,951.8,23.6,94.0,14.0
2022-08-03,29.1,24.0,6.0,953.3,23.6,86.0,20.0
2022-08-04,29.9,23.6,5.4,953.7,24.0,86.0,33.0
2022-08-05,30.6,23.9,3.9,951.1,24.3,84.0,33.0
2022-08-06,29.7,24.5,4.6,950.1,24.1,86.0,27.0
2022-08-07,30.8,24.8,4.1,949.7,23.9,81.0,15.0
2022-08-08,30.4,24.7,4.6,949.4,24.7,85.0,13.0
2022-08-09,31.2,24.1,5.3,949.0,24.6,83.0,13.0
2022-08-10,29.1,24.1,6.9,949.2,23.8,83.0,9.0
2022-08-11,30.3,24.1,8.8,951.0,23.3,81.0,6.0
2022-08-12,31.0,24.1,6.3,950.6,24.0,83.0,8.0
2022-08-13,31.3,24.5,4.9,949.9,24.6,83.0,17.0
2022-08-14,30.3,23.5,5.3,952.5,23.6,85.0,8.0
2022-08-15,30.2,23.7,12.6,954.7,22.8,77.0,6.0
2022-08-16,30.6,24.0,5.9,954.4,23.4,80.0,11.0
2022-08-17,31.4,24.1,5.9,952.2,23.5,81.0,18.0
2022-08-18,31.8,23.9,4.5,950.2,24.3,82.0,15.0
2022-08-19,28.7,24.7,4.7,951.7,23.5,82.0,16.0
2022-08-20,30.5,24.1,5.4,951.6,23.4,79.0,10.0
2022-08-21,30.8,24.4,9.7,951.1,22.8,77.0,12.0
2022-08-22,31.4,23.9,7.4,951.2,23.2,79.0,10.0
2022-08-23,31.0,24.2,4.3,954.1,24.4,85.0,15.0
2022-08-24,30.6,24.3,4.3,955.1,24.1,84.0,20.0
2022-08-25,28.9,24.0,5.7,953.8,24.1,88.0,23.0
2022-08-26,30.7,24.8,4.3,952.4,23.4,78.0,29.0
2022-08-27,30.5,23.7,3.5,951.9,24.3,88.0,25.0
2022-08-28,27.4,23.4,5.4,954.5,23.7,93.0,13.0
2022-08-29,28.8,23.3,3.6,957.2,24.2,90.0,22.0
2022-08-30,28.9,22.8,3.1,956.6,23.8,89.0,32.0
2022-08-31,27.4,23.4,2.8,954.9,23.9,92.0,15.0
2022-09-01,26.7,23.7,2.7,956.0,23.2,91.0,29.0
2022-09-02,28.7,23.1,4.0,955.5,23.8,92.0,28.43
2022-09-03,28.0,22.8,4.1,952.5,23.6,91.0,27.86
2022-09-04,28.3,22.7,3.5,953.0,23.5,90.0,27.29
2022-09-05,29.3,23.0,4.0,954.0,23.6,88.0,26.71
2022-09-06,28.4,23.0,5.1,955.7,23.5,90.0,26.14
2022-09-07,29.4,23.6,4.4,957.5,23.0,84.0,25.57
2022-09-08,30.1,23.5,4.7,958.3,22.8,81.0,25.0
2022-09-09,29.8,24.0,3.5,957.8,23.0,82.0,15.0
2022-09-10,30.7,24.1,3.6,956.4,22.0,73.0,18.0
2022-09-11,30.8,23.3,5.3,954.2,22.8,80.0,15.0
2022-09-12,28.9,22.7,8.2,953.5,22.6,85.0,8.0
2022-09-13,28.6,21.8,6.2,954.9,22.2,85.0,5.0
2022-09-14,27.6,22.6,9.9,955.8,22.2,83.0,7.75
2022-09-15,27.1,22.6,6.6,953.5,22.8,91.0,10.5
2022-09-16,28.5,22.6,5.6,951.2,22.7,89.0,13.25
2022-09-17,26.4,22.4,4.5,953.1,22.9,90.0,16.0
2022-09-18,29.7,22.8,4.2,954.1,22.7,85.0,16.0
2022-09-19,30.7,23.4,4.0,955.0,23.3,83.0,15.0
2022-09-20,28.9,23.4,5.2,954.7,23.1,83.0,13.0
2022-09-21,29.2,23.8,7.0,954.8,23.4,85.0,14.0
2022-09-22,29.4,22.7,6.1,955.0,23.1,84.0,15.0
2022-09-23,29.1,22.3,5.2,954.6,23.1,86.0,16.0
2022-09-24,28.6,21.7,4.0,954.7,23.0,89.0,17.0
2022-09-25,28.8,22.2,3.8,956.3,22.8,89.0,18.0
2022-09-26,26.7,21.2,3.3,956.4,22.5,89.0,19.0
2022-09-27,27.9,21.4,3.3,955.2,22.0,85.0,20.0
2022-09-28,28.4,21.6,3.7,954.5,21.7,82.0,21.0
2022-09-29,29.0,21.7,3.4,955.1,22.4,85.0,22.0
2022-09-30,29.2,22.9,3.8,954.9,21.9,82.0,26.0
2022-10-01,29.4,22.6,4.5,953.9,21.5,77.0,33.0
2022-10-02,31.5,22.6,3.2,953.9,21.5,74.0,27.0
2022-10-03,32.0,22.8,4.3,956.1,22.3,78.0,19.0
2022-10-04,25.8,22.8,4.3,958.4,22.7,91.0,8.0
2022-10-05,27.5,22.8,5.9,958.8,22.3,87.0,7.0
2022-10-06,27.3,21.0,3.3,959.3,21.3,88.0,8.0
2022-10-07,28.0,22.7,2.8,959.2,21.8,82.0,11.0
2022-10-08,28.4,21.3,4.4,958.6,21.1,79.0,10.0
2022-10-09,28.9,22.7,4.0,960.1,21.5,77.0,12.0
2022-10-10,27.7,22.4,4.3,959.5,21.5,82.0,20.0
2022-10-11,26.5,20.6,4.6,957.9,20.4,80.0,20.0
2022-10-12,27.0,19.5,3.8,958.8,20.8,86.0,16.0
2022-10-13,27.3,18.8,3.3,959.4,20.1,81.0,16.0
2022-10-14,27.0,17.4,4.4,958.9,18.8,82.0,18.0
2022-10-15,27.4,17.2,5.0,959.2,18.5,80.0,31.0
2022-10-16,27.8,16.7,5.1,961.2,17.9,79.0,41.0
2022-10-17,27.6,16.3,3.5,960.7,14.5,65.0,36.0
2022-10-18,26.3,15.6,4.5,959.8,15.1,71.0,46.0
2022-10-19,26.1,17.3,3.7,960.2,15.0,68.0,46.0
2022-10-20,26.6,16.9,3.8,962.0,15.1,69.0,47.0
2022-10-21,27.3,16.5,3.9,963.2,14.1,63.0,48.0
2022-10-22,27.9,14.7,4.2,963.4,13.0,61.0,42.0
2022-10-23,31.3,17.2,4.8,960.1,12.1,51.0,31.0
2022-10-24,28.1,17.6,4.5,956.4,16.9,71.0,32.0
2022-10-25,26.6,14.9,4.9,957.1,17.2,81.0,32.0
2022-10-26,26.1,15.3,4.7,960.8,16.5,79.0,57.0
2022-10-27,26.1,16.1,4.4,961.1,16.1,76.0,77.0
2022-10-28,25.8,16.1,4.0,960.7,14.9,72.0,82.0
2022-10-29,26.9,16.8,4.3,961.2,15.4,70.0,63.0
2022-10-30,27.4,16.1,4.1,961.0,14.2,66.0,47.0
2022-10-31,27.7,16.6,4.1,961.4,12.7,58.0,43.0
2022-11-01,27.4,16.0,4.5,961.6,12.1,59.0,40.0
2022-11-02,27.3,15.2,4.9,959.3,13.0,64.0,34.0
2022-11-03,26.7,15.4,3.7,960.0,14.7,69.0,58.0
2022-11-04,27.1,16.7,3.5,962.0,15.9,73.0,67.0
2022-11-05,27.4,16.9,4.0,963.7,16.2,73.0,66.0
2022-11-06,26.7,16.0,3.7,963.1,15.4,71.0,59.0
2022-11-07,26.1,16.1,5.2,962.6,14.4,69.0,59.0
2022-11-08,25.1,16.7,3.8,962.9,15.7,73.0,68.0
2022-11-09,25.1,16.5,3.2,962.9,15.5,73.0,70.0
2022-11-10,24.9,15.5,3.8,962.7,15.3,73.0,64.0
2022-11-11,24.9,14.6,4.1,961.8,15.1,78.0,75.0
2022-11-12,24.7,12.6,4.7,960.9,14.0,77.0,83.0
2022-11-13,23.8,12.7,4.8,961.4,13.7,78.0,77.0
2022-11-14,23.7,12.6,5.1,962.0,12.6,70.0,78.0
2022-11-15,24.6,14.5,4.4,960.6,12.8,70.0,72.0
2022-11-16,24.3,14.2,4.9,959.4,13.7,73.0,79.0
2022-11-17,23.8,12.0,5.5,959.8,12.8,76.0,79.0
2022-11-18,23.2,12.5,3.9,962.2,12.5,73.0,82.0
2022-11-19,25.1,13.9,3.8,961.2,12.8,66.0,81.76
2022-11-20,25.0,13.0,4.3,959.6,12.3,69.0,81.52
2022-11-21,23.9,12.8,5.0,958.7,10.0,60.0,81.27
2022-11-22,23.8,12.2,4.7,959.3,11.9,69.0,81.03
2022-11-23,23.0,11.3,4.5,959.5,12.8,77.0,80.79
2022-11-24,24.1,10.9,4.0,960.9,11.5,68.0,80.55
2022-11-25,26.6,13.9,3.6,960.6,10.4,58.0,80.3
2022-11-26,25.2,13.3,4.9,958.9,12.2,64.0,80.06
2022-11-27,24.8,12.7,3.8,957.7,12.8,73.0,79.82
2022-11-28,24.2,12.5,3.9,959.8,13.3,76.0,79.58
2022-11-29,24.7,12.7,4.3,961.1,12.9,73.0,79.33
2022-11-30,24.7,11.9,4.7,961.4,12.1,72.0,79.09
2022-12-01,23.7,12.6,3.9,960.7,11.2,66.0,78.85
2022-12-02,23.4,11.9,3.9,960.5,11.3,68.0,78.61
2022-12-03,23.9,12.2,4.0,960.5,11.6,68.0,78.36
2022-12-04,23.8,12.0,4.5,961.1,11.8,70.0,78.12
2022-12-05,23.6,11.8,5.2,961.5,10.7,69.0,77.88
2022-12-06,23.0,11.0,4.9,960.1,10.8,70.0,77.64
2022-12-07,22.5,11.5,4.4,960.0,10.3,69.0,77.39
2022-12-08,23.9,11.4,4.1,960.8,10.2,66.0,77.15
2022-12-09,23.4,11.8,4.1,960.2,10.6,66.0,76.91
2022-12-10,23.8,11.1,4.7,960.2,10.5,67.0,76.67
2022-12-11,22.1,10.8,4.4,959.9,11.2,72.0,76.42
2022-12-12,21.9,10.4,4.1,959.5,12.3,80.0,76.18
2022-12-13,22.4,10.6,4.4,959.6,12.2,77.0,75.94
2022-12-14,22.0,10.2,5.3,960.4,12.0,79.0,75.7
2022-12-15,22.0,10.1,3.6,958.9,12.3,79.0,75.45
2022-12-16,21.6,11.1,4.5,959.2,12.6,81.0,75.21
2022-12-17,22.9,10.4,3.9,961.3,11.8,75.0,74.97
2022-12-18,24.0,12.1,4.3,960.7,10.7,66.0,74.73
2022-12-19,23.7,12.1,4.0,959.1,10.8,69.0,74.48
2022-12-20,22.4,10.4,3.8,959.1,11.5,75.0,74.24
2022-12-21,22.2,10.6,5.2,959.5,10.9,74.0,74.0
2022-12-22,21.5,10.1,4.6,958.7,10.7,75.0,90.0
2022-12-23,21.6,10.2,4.3,959.6,8.9,68.0,93.0
2022-12-24,19.4,10.1,4.2,959.7,7.6,62.0,77.0
2022-12-25,22.3,9.9,5.2,960.7,7.1,59.0,63.0
2022-12-26,21.0,8.8,4.9,961.8,6.1,61.0,68.0
2022-12-27,20.1,7.9,5.2,960.0,6.5,67.0,85.0
