time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),surface_pressure_mean (hPa),dew_point_2m_mean (°C),relative_humidity_2m_mean (%)
2/9/2024,20,6.7,5.7,965.2,7.3,70
2/10/2024,23.4,9.2,4.4,965.4,7.6,60
2/11/2024,24.3,10.3,4.7,965.7,7,55
2/12/2024,24.5,9.7,4.9,965.4,6.8,53
2/13/2024,23.1,11.3,4.9,964.5,5.7,49
2/14/2024,20.8,11.3,4,963.7,7.4,58
2/15/2024,24.6,10.7,5.9,964.6,5.7,49
2/16/2024,24.1,11.4,5.9,963.9,9.8,62
2/17/2024,23.7,11.2,5.4,960,8.9,60
2/18/2024,23.5,11.3,5.2,960.6,8.3,59
2/19/2024,24.5,12.2,4.6,960.7,7.1,51
2/20/2024,27.3,13.9,6.3,958,8.4,50
2/21/2024,24.9,12.8,5.7,957,9.7,58
2/22/2024,23.6,10.4,5.5,958.5,8,57
2/23/2024,23.8,8.9,6.8,960.1,1.5,40
2/24/2024,22.4,8.9,5.6,962.1,1.4,41
2/25/2024,24.2,10.4,5.9,962.7,-0.7,35
2/26/2024,24,10.9,5.1,963.1,3.2,41
2/27/2024,24.5,11.7,5.8,961.2,5,45
2/28/2024,25.4,12.7,6.8,959.1,7.2,50
2/29/2024,24.4,11.9,6,960.3,8.8,58
3/1/2024,25.1,11.4,6,961.5,9.7,58
3/2/2024,26.2,13.8,6,960.9,11.5,58
3/3/2024,25.2,15.1,4.8,960.2,12.5,66
3/4/2024,26.3,13.1,6.9,959.7,9.4,55
3/5/2024,27,11.7,8.4,959.2,6.3,48
3/6/2024,26.8,11.8,5.7,958.6,8.4,55
3/7/2024,26.1,12.7,5.7,958.9,8.1,49
3/8/2024,26.3,12.5,7.5,959.2,6.8,47
3/9/2024,25.2,13,6.1,959.8,7.6,50
3/10/2024,25.8,13.9,6.4,962.9,10.1,56
3/11/2024,28.2,13.2,5.7,961.3,10.5,56
3/12/2024,29.1,14.2,6.2,958.3,9.5,47
3/13/2024,28.7,14.1,6.8,958.6,6.5,40
3/14/2024,29.2,14.3,6.6,958.8,6.2,38
3/15/2024,29.6,12.9,6.6,960.2,4.3,34
3/16/2024,28.9,12.7,6.6,961.2,1.3,30
3/17/2024,29,12.5,5.8,960.9,2.6,31
3/18/2024,29.1,14.2,6.3,960,3,32
3/19/2024,30.4,14.3,6.3,960.4,4.9,33
3/20/2024,23,15.2,4.8,962.2,13.2,72
3/21/2024,24.1,14.2,4.2,960.8,14,77
3/22/2024,24.8,13.7,4.8,957.1,14.4,74
3/23/2024,24.2,16.2,6.3,956.2,14.5,73
3/24/2024,25.8,16.1,5.4,959.6,16,75
3/25/2024,25.9,16.6,5.6,959.1,15.6,71
3/26/2024,27.5,16.3,4.8,960.5,16,70
3/27/2024,26.1,17.9,3.7,961.7,17.5,77
3/28/2024,26.5,19.2,3.9,959.4,17.4,76
3/29/2024,29,19.1,5.3,958.6,16.8,67
3/30/2024,30.8,18.6,5.6,958.6,16.4,63
3/31/2024,31.9,18.4,7.3,955.9,12.7,46
4/1/2024,31.4,18.1,7.6,952.9,11.5,45
4/2/2024,30.3,17.9,5.6,953.2,12.1,48
4/3/2024,31.4,17.8,5.5,954.9,11.2,44
4/4/2024,33.7,18.1,6.6,954.8,10,37
4/5/2024,32.3,19.1,5.5,954.2,12.1,42
4/6/2024,32.7,18,7.7,954.6,9.1,36
4/7/2024,32.6,16.5,7.5,955.1,6.9,32
4/8/2024,32.3,16.2,6.6,957.4,4.3,28
4/9/2024,32.4,18,6.5,958.5,5.4,29
4/10/2024,33.1,18.6,6.3,959,4.8,29
4/11/2024,32.9,19.4,6.6,960.1,8.6,35
4/12/2024,31.4,19.3,5.8,959.6,10.9,41
4/13/2024,33,19.8,6,959.4,10.1,38
4/14/2024,33.6,20.1,6.2,959.4,10.3,36
4/15/2024,34.4,20.2,7.1,958,12.5,40
4/16/2024,33.9,21.5,6.6,954.8,13.7,43
4/17/2024,32.7,21.7,7.6,953.7,13.3,44
4/18/2024,31.7,21.3,8.8,952.9,15.1,51
4/19/2024,33,21,6.9,950.4,16.4,53
4/20/2024,35,20,7.6,950.6,11.6,38
4/21/2024,34.7,20.6,8.8,951.9,7.6,29
4/22/2024,34.9,20.8,8.6,953.6,9.3,32
4/23/2024,34.4,20,9.9,953,7.7,28
4/24/2024,34,19.8,8.5,952.7,7.5,29
4/25/2024,35.2,19.6,7.5,952.5,7.3,29
4/26/2024,36,19.5,6.9,952.5,7.5,27
4/27/2024,34.4,21.9,6.1,953.7,13.6,42
4/28/2024,35.2,20.6,9.1,953.4,9.5,32
4/29/2024,36.1,20.7,8.3,952.9,7.8,27
4/30/2024,36.2,22.3,8.7,949.6,8.2,28
5/1/2024,35.5,18.9,7.4,949.2,3.1,22
5/2/2024,32.9,19.4,7.5,951,4.2,25
5/3/2024,35,19.5,6.2,953.9,7.3,28
5/4/2024,34.3,22.3,7.1,953.5,9.6,33
5/5/2024,33.4,21.6,8.4,951.8,13.4,42
5/6/2024,32.2,20.7,8.4,955.7,17.1,58
5/7/2024,27,19.9,6.6,959.1,18.1,71
5/8/2024,26.8,20,4.8,958.4,17.5,73
5/9/2024,29.8,20.4,6.9,957.2,18,69
5/10/2024,28.6,21.1,5.2,957.7,19.1,72
5/11/2024,30.5,21.3,6,958.2,19.6,72
5/12/2024,28.4,20.3,5.4,958.9,20.2,80
5/13/2024,29.9,20.5,4.3,958.2,19.9,72
5/14/2024,31.1,20.8,5.3,957.7,19.3,65
5/15/2024,33.1,22.8,5.5,958.7,19.6,62
5/16/2024,34.6,23.7,5.6,956.9,14.6,43
5/17/2024,34.7,23.5,4.3,954.7,17,48
5/18/2024,35.1,24.2,5.3,953,19.4,56
5/19/2024,33,23.4,6.4,952.2,20.1,62
5/20/2024,30.8,23.7,5.9,953.7,21.2,72
5/21/2024,32.7,22.8,6.7,954.6,20.6,69
5/22/2024,31.9,23.6,5.6,954.7,21.5,72
5/23/2024,32.1,23.3,6.2,953.5,19.7,64
5/24/2024,34.4,23.2,5,952.1,20.8,62
5/25/2024,35.7,24.1,3.7,950.4,21.5,62
5/26/2024,33.9,25.5,4.3,949.4,22.1,65
5/27/2024,32.1,24.5,4.4,947.1,23.6,78
5/28/2024,32.2,24.2,5.8,945.7,21.6,71
5/29/2024,34.6,24.9,4.4,947.9,21.1,60
5/30/2024,34.6,25.2,5.5,950.2,23.6,70
5/31/2024,32.9,24.2,6,951.8,23.9,77
6/1/2024,32.9,24,4.6,952.8,21.7,68
6/2/2024,32.1,22.7,4,953.6,22.6,78
6/3/2024,32.6,23.5,5.9,952.3,21.7,70
6/4/2024,32.9,23.2,4.5,953.2,22.4,75
6/5/2024,31,23,4.2,953.8,22.4,78
6/6/2024,31.5,23.1,4.5,953.9,22.5,77
6/7/2024,29.9,23.3,4.5,951.7,22,76
6/8/2024,32,24.2,4.5,950.4,22.4,71
6/9/2024,32.8,24.4,5.3,950.5,23.3,73
6/10/2024,33.6,24.1,5.8,950.8,23.8,75
6/11/2024,32.5,24.3,5,951,24.1,77
6/12/2024,33.2,25.3,5,951,23.7,74
6/13/2024,32.4,23.9,4.6,949.6,24.2,79
6/14/2024,30.1,24.1,4.7,949.4,24.5,85
6/15/2024,32.9,24.6,4.7,949.4,24.3,80
6/16/2024,31.8,24.8,5,950.6,24.5,83
6/17/2024,32.3,24.8,4.5,950,24.3,81
6/18/2024,31.4,24.5,4.5,947.5,24.5,83
6/19/2024,28.3,23.5,7.4,947.6,23.8,88
6/20/2024,29.2,23.3,6.4,950.1,23.1,83
6/21/2024,29.6,24,5,950.6,23.2,83
6/22/2024,30,24.3,6,951.1,23.5,81
6/23/2024,31.9,24.2,5.1,951,24.2,79
6/24/2024,31.9,24.8,3.9,949.8,24.8,82
6/25/2024,30.8,25.5,8.4,949.7,24.7,83
6/26/2024,30.5,24.5,6.4,951.2,24,86
6/27/2024,31.1,24.8,4.3,952.4,24,82
6/28/2024,29,25.3,5.6,950.5,24.2,85
6/29/2024,28.8,24.6,4.7,950,24.5,88
6/30/2024,29,24.1,4.1,949.2,24.5,91
7/1/2024,29.7,24.4,4.3,946.8,24.6,92
7/2/2024,29.1,24.1,9.6,947.5,23.8,87
7/3/2024,28.9,24.1,7,950.1,24,86
7/4/2024,29.6,24.5,11.3,950.9,23.5,83
7/5/2024,27.8,24.1,10.9,948.8,23.5,89
7/6/2024,26.2,23.9,11.8,949.7,23,91
7/7/2024,28.9,23.9,5.8,952.7,23.7,88
7/8/2024,30.6,23.7,4.5,952.5,23.8,84
7/9/2024,30.3,23.9,4.3,953,24.4,87
7/10/2024,29.2,24.3,4.1,952.5,24.2,90
7/11/2024,28.4,24.1,4.2,949,24.5,94
7/12/2024,26.5,23.5,6.2,948.5,23.7,93
7/13/2024,30.1,23.8,5.1,947.9,24.6,89
7/14/2024,30.5,24.3,7.6,949.1,24.6,85
7/15/2024,31.4,25,5.9,951.3,24.5,82
7/16/2024,30,25.1,6.7,952.2,24.4,85
7/17/2024,28.8,25.4,3.2,951.4,24.2,87
7/18/2024,31.4,24.9,4.1,950.1,24.9,85
7/19/2024,30.8,24.2,3.4,948.9,24.6,85
7/20/2024,30.7,25.6,5.8,949.9,24.9,84
7/21/2024,30.6,25.8,4.7,950.1,24.6,85
7/22/2024,29.3,24.8,6.3,950,24.6,89
7/23/2024,29.7,24.7,5.5,948.1,24.5,87
7/24/2024,31,25.3,4.4,945.1,25,85
7/25/2024,30.7,25.5,4,944.8,25.1,85
7/26/2024,32.2,26,3.6,946,25,79
7/27/2024,32.6,26.4,4.9,948.7,25.6,81
7/28/2024,31.5,26.2,4.8,949,25.5,85
7/29/2024,32.6,25.7,3.5,949.2,25.2,83
7/30/2024,31.1,25.3,4.1,950.6,24.9,84
7/31/2024,32.1,24.8,3.8,950.7,24.6,81
8/1/2024,30.4,24.4,5,949.4,25,88
8/2/2024,29.9,24.1,5.2,948.5,24.4,91
8/3/2024,29.3,24.5,13.2,951.6,22.9,82
8/4/2024,29.5,24.3,8.2,953.3,23.6,83
8/5/2024,29.3,24.1,3.5,952.3,24.5,89
8/6/2024,26.9,24,6.4,951.9,24,93
8/7/2024,28.6,23.5,3.2,952.6,24.1,90
8/8/2024,28.8,23.6,6.2,953.5,23.6,87
8/9/2024,28.5,23.8,7.2,954.1,23.3,86
8/10/2024,29.4,24.2,5.7,953,24,88
8/11/2024,28.5,23.9,6.1,952.2,24,91
8/12/2024,29.1,24.1,4.6,953.2,24.3,90
8/13/2024,29.3,23.7,4.2,954.1,24.7,90
8/14/2024,29.6,24.8,2.6,954.2,24.7,90
8/15/2024,31.3,24.7,4.7,953.1,23.9,80
8/16/2024,29.6,23.9,4.7,953.3,24.3,84
8/17/2024,31.6,23.9,4,954.1,23.9,82
8/18/2024,30.4,24.3,3.3,954.4,23.8,84
8/19/2024,29.8,24.1,3.8,953.6,23.8,84
8/20/2024,28.4,23.5,3.4,955,23.3,87
8/21/2024,28.6,23.3,3.2,955.2,23.4,89
8/22/2024,29.6,23.3,3.2,954.2,23.8,88
8/23/2024,29.3,23.9,4.9,954.7,23.9,87
8/24/2024,30.6,24.2,6.9,954.3,23.4,81
8/25/2024,30.5,23.7,6.3,952.5,23.9,84
8/26/2024,29.1,24,5.7,953.6,23.6,86
8/27/2024,29.3,23.5,5.5,955.1,23.5,86
8/28/2024,29.9,23.5,4.6,954.1,23.5,83
8/29/2024,29.7,23.2,3.3,954.4,23.8,84
8/30/2024,31.1,24,2.8,954.8,24.4,82
8/31/2024,31.7,24.4,4,954.4,24.3,82
9/1/2024,28.2,23.2,5.4,956,23.1,85
9/2/2024,30.8,23.2,3.6,955.9,23,81
9/3/2024,31.3,23.5,3.8,955.7,23.9,84
9/4/2024,29,23.2,3.8,952.4,23.5,87
9/5/2024,27.8,23.3,5.3,952.7,23.4,90
9/6/2024,29.7,23.2,3.7,954.1,23,80
9/7/2024,31.3,24.4,3,953.7,23.1,77
9/8/2024,32.2,24.8,3.9,953.1,23.3,76
9/9/2024,29.4,24.8,4.5,951.8,23.7,81
9/10/2024,31.3,24,5.9,951.9,23.7,81
9/11/2024,31.1,24.3,9.2,952.5,23.4,79
9/12/2024,31.1,24.3,6,952.7,22.9,77
9/13/2024,31.5,24,4.7,950.7,23.4,80
9/14/2024,30.7,24.1,5.9,951.3,23.2,81
9/15/2024,29.1,24.1,4,951.6,23.2,84
9/16/2024,28.6,23.9,3.2,954.2,22.5,81
9/17/2024,28.5,23.4,3.5,955.5,22.5,81
9/18/2024,31.1,23.2,3.5,954.9,23.7,81
9/19/2024,31.9,23.3,4.1,954.3,24.1,83
9/20/2024,31.5,24,2.9,954.5,24.2,83
9/21/2024,30.7,24.6,3.9,955.1,24.7,85
9/22/2024,33.5,24.2,3.5,954.1,24.4,78
9/23/2024,34.7,24.1,4,954.5,24.6,76
9/24/2024,29.9,23.9,4.9,955,23.9,85
9/25/2024,26.7,23.4,4.1,955.8,23.6,91
9/26/2024,27,23.1,11.5,955.6,22.5,90
9/27/2024,24,22.9,11.5,956.3,21.9,91
9/28/2024,24.3,22.4,5.8,957.1,21.9,92
9/29/2024,29,22,5,957,22.3,86
9/30/2024,29.7,22.1,5.7,955,22.7,85
10/1/2024,29.5,22.4,5,953.7,23.1,86
10/2/2024,29.1,22.7,3.8,953.6,22.9,85
10/3/2024,28.3,22.6,3.2,954.5,22.8,90
10/4/2024,28.1,22.5,4.1,955.6,22.3,86
10/5/2024,27.9,21.7,3.8,957.9,21.8,86
10/6/2024,27.4,20.9,3.1,960.6,21.9,87
10/7/2024,27.8,20.3,3.2,961.6,21.7,86
10/8/2024,28.6,20.3,4.4,959.9,21.3,84
10/9/2024,28.6,19.8,4.8,957.9,20.7,82
10/10/2024,28.7,19.7,5.3,956.9,20.6,80
10/11/2024,28.7,19,5.3,956.9,20.6,82
10/12/2024,27.5,18.9,5.3,958.8,19.6,83
10/13/2024,27.3,18.8,4.5,960.1,19.8,78
10/14/2024,26.3,19.4,4.3,959.7,19.8,82
10/15/2024,27.1,17.9,4.3,958.5,18.8,81
10/16/2024,27.2,17.5,4.5,959.2,18,74
10/17/2024,26.2,18.8,3.7,959.1,18.6,80
10/18/2024,26.3,18,4.6,959,18.9,83
10/19/2024,26.7,17.8,4.1,960.2,19,82
10/20/2024,24.6,18,3.9,961.8,19.1,86
10/21/2024,27.4,17.7,3.6,961.1,17.5,75
10/22/2024,30,18.8,3.5,960.5,15.9,62
10/23/2024,30,20,4.3,959.7,18.4,69
10/24/2024,27.8,19.7,3.7,959.5,19.5,79
10/25/2024,26.6,18.3,3.5,959.5,19.2,84
10/26/2024,28.1,18.2,4,959.3,18.9,78
10/27/2024,28.2,19,3.9,958,19.2,78
10/28/2024,28,18.4,3.9,957.4,19.2,77
10/29/2024,28.3,18.3,5,957.5,19.1,78
10/30/2024,27.5,18.5,4.6,958.8,18.8,78
10/31/2024,26.6,18.2,5,958.9,18.5,78
11/1/2024,27,18,4.5,960.7,18.7,79
11/2/2024,26.9,18.3,3.3,962.1,19.1,81
11/3/2024,27.6,18.2,3.3,961.8,18.7,77
11/4/2024,26.2,18.9,3.2,961.8,17.3,75
11/5/2024,26.6,17.6,3.3,962.6,15.9,68
11/6/2024,26.8,17.1,4.2,962.5,14.2,64
11/7/2024,27.2,18,5,962.2,14.8,66
11/8/2024,25.5,16.1,3.9,962.4,16.9,77
11/9/2024,25.1,15.9,4,962.5,17.4,80
11/10/2024,26.6,16.4,3.5,962.5,16.7,70
11/11/2024,26.4,17.4,4.3,961.6,15.8,71
11/12/2024,25.4,15.2,5,960.5,15.4,75
11/13/2024,25.2,15.7,4,960.4,16.2,76
11/14/2024,26.1,14.7,4.8,961.1,15.6,77
11/15/2024,25.1,14.6,3.7,959.9,16.1,81
11/16/2024,24.3,14.1,4.3,959.5,15.7,81
11/17/2024,24.6,14.1,4,960.2,15,78
11/18/2024,24.2,13.9,3.9,962,13.8,74
11/19/2024,24.6,13.6,4.3,962.1,12.7,70
11/20/2024,24.6,14.5,4.6,961.4,12.6,68
11/21/2024,24.6,14.6,4.1,961.1,12.4,68
11/22/2024,24,14.2,3.7,960.9,12.1,69
11/23/2024,22.7,12.7,4.6,961.7,12.3,73
11/24/2024,23.2,12.9,4.6,961.4,11.7,69
11/25/2024,22.3,13,3.8,961.5,12.4,72
11/26/2024,22.5,13.1,3.8,960.9,13.3,77
11/27/2024,22.4,10.9,4.7,961.4,11.7,74
11/28/2024,23.8,10.6,5.6,962.7,10.8,70
11/29/2024,24.2,11.9,3.7,962.4,11.1,67
11/30/2024,23,12.8,3.8,960.6,11.4,69
12/1/2024,22.8,11,3.8,958.7,11.7,76
12/2/2024,22.9,11,3.6,960.2,10.7,70
12/3/2024,23.2,12.5,4,960.1,9.1,60
12/4/2024,21.9,11.5,4.3,959,11.4,75
12/5/2024,21.9,12.4,3.4,959.1,13.9,84
12/6/2024,20.4,11.5,4.6,958.7,12.6,83
12/7/2024,20.9,9.8,5.1,960,10.9,80
12/8/2024,21,9,4.9,959.9,10.8,79
12/9/2024,21.5,9.2,4.7,959.7,8.8,68
12/10/2024,21.5,9.3,6.1,960,4,54
12/11/2024,20,9.5,3.8,960.6,6.1,62
12/12/2024,19.2,10.2,4,960,6,60
12/13/2024,20,8.9,3.5,960.4,5.8,60
12/14/2024,20.8,8.8,4.4,962.9,6.9,66
12/15/2024,23.6,10.4,3.8,963.7,6.9,55
12/16/2024,24,11.6,3.6,962.3,6.7,54
12/17/2024,23,11,3.9,961.5,7.9,60
12/18/2024,23,10.6,4.2,960.8,7,58
12/19/2024,22.4,10.1,4.6,961.7,8.6,65
12/20/2024,23.1,10.3,3.7,960.2,7.6,58
12/21/2024,22.5,9.7,4.5,960.7,7.5,63
12/22/2024,21.9,9.5,4.4,961.7,6.6,60
12/23/2024,21.9,9.4,4.4,962,6,58
12/24/2024,20.4,10.3,3.4,962.3,3.8,47
12/25/2024,23.1,11.7,4.1,963.7,5,48
12/26/2024,23.8,11.5,5.9,965.4,3.5,44
12/27/2024,23.1,11.3,4.4,965.1,6.4,55
12/28/2024,22.1,11.3,5.1,964.3,10,70
12/29/2024,24.3,10.8,5.4,962.6,7.1,55
12/30/2024,20.4,10.5,4.2,963.4,9.7,74
12/31/2024,22,10.2,4.7,963.2,8.6,68
1/1/2025,19.8,10.2,3.3,961.5,8.9,73
1/2/2025,22.6,9.3,3.1,962.3,8.4,67
1/3/2025,23.6,11,3.9,962.3,8.4,62
1/4/2025,24.2,11,4.6,961.9,8.2,60
1/5/2025,23.2,12,4.5,962.8,9.3,60
1/6/2025,23.5,12.9,4.7,961.1,11.5,70
1/7/2025,20.8,11.8,5.9,959.4,11.6,80
1/8/2025,14.8,10.3,4.2,961.3,10.9,91
1/9/2025,19,7.3,3.5,963.9,9.1,80
1/10/2025,20.8,7.4,5,965,8.4,73
1/11/2025,23,8.7,5.9,965,7.9,65
1/12/2025,23.4,10.5,6.4,963.7,6.5,53
1/13/2025,22.9,8.8,5.7,961.7,5.7,55
1/14/2025,21.3,9.6,4,964.6,8,66
1/15/2025,21.9,9.7,3.9,964.9,8.1,65
1/16/2025,23.6,10.8,4.4,964.5,8,60
1/17/2025,24.6,11.2,4.9,962.7,5.2,49
1/18/2025,22.6,10.9,3.9,961.7,8.5,66
1/19/2025,22.1,10.5,3.3,959.7,8.7,70
1/20/2025,21.9,10.4,3.6,958.2,10.2,72
1/21/2025,21.7,10.9,3.5,958.1,9.7,70
1/22/2025,22.6,11.7,2.8,959.2,10.3,71
1/23/2025,21.4,11,3.7,959,9.2,68
1/24/2025,22.9,9.6,6.3,958.4,7.7,60
1/25/2025,20,9.7,4,959.9,10.7,77
1/26/2025,21.9,9,6.5,959.7,10.7,77
1/27/2025,22.7,9,4.1,957.7,11,74
1/28/2025,22.5,9.8,4.7,960,11.5,76
1/29/2025,23.2,10.8,4.5,960.9,11.6,76
1/30/2025,22.9,9.6,5.3,956.7,10,70
1/31/2025,23,10.7,3.9,957.8,7.5,59
2/1/2025,22.9,12.9,5,958.9,6.6,52
2/2/2025,25.5,11.7,6.6,958.3,3.1,42
2/3/2025,22.3,11.2,5.1,959.8,8.5,63
2/4/2025,23.9,11.1,3.5,959.2,10.4,64
2/5/2025,27.5,13.5,6.1,957.9,10.7,60
2/6/2025,23.6,11.6,5.1,958.2,11,71
2/7/2025,22.3,10.4,4.4,959,8.3,64
2/8/2025,20.9,9.3,5.1,960.5,9.3,73
2/9/2025,22.7,9.3,4.6,959.4,10.5,74
2/10/2025,24,10.6,4.9,959.5,11.5,71
2/11/2025,25.3,12,4.9,957.9,10.5,65
2/12/2025,23.9,11.7,6.3,957.7,9.2,59
2/13/2025,21.4,9.1,5.4,957,9.8,71
2/14/2025,20.1,9.2,5.2,956.8,9.1,71
2/15/2025,22,9.9,6.5,958.1,8.7,67
2/16/2025,23.4,10.2,5.1,959.6,9.6,66
2/17/2025,23.5,11.4,5.8,961.5,10.6,68
2/18/2025,23.8,11,6.6,960.5,11.3,74
2/19/2025,24.1,10.9,4.9,960,9.8,61
2/20/2025,25.6,12.4,5.7,962,9.2,57
2/21/2025,26.1,12.2,7.3,961.5,8.7,53
2/22/2025,26.2,11.4,6.5,961.6,7.5,52
2/23/2025,24.2,11.6,5.7,963.2,8.3,57
2/24/2025,24.2,11.7,5.5,964.1,9.1,57
2/25/2025,26,12.7,5.6,965.2,8.8,56
2/26/2025,26.2,12.8,5.2,964.7,10.6,59
2/27/2025,26.5,12.8,4.9,962.2,12.3,66
2/28/2025,26.2,14.6,5.6,960.8,11.4,59
3/1/2025,27.1,13.8,7,958.2,8.7,51
3/2/2025,28.8,12.7,7.5,955.6,7.6,47
3/3/2025,27,13.2,5.7,956.5,8.9,53
3/4/2025,28.7,13.4,8.5,956.3,8.2,46
3/5/2025,24.2,12.6,6.7,955.2,10.3,62
3/6/2025,24.9,12.1,7.4,958.5,11.8,65
3/7/2025,25.3,14.5,4,956.8,11.8,62
3/8/2025,26.6,13.7,5.4,956.9,8.9,54
3/9/2025,26.4,13.9,5.2,962.3,11.1,55
3/10/2025,28.4,16.5,4.5,963,11.6,53
3/11/2025,29.4,16.8,7.5,959.4,11.9,54
3/12/2025,28.2,17.6,6.3,955.6,13.4,57
3/13/2025,27.8,15.7,7,954.9,13.1,60
3/14/2025,30.9,15.7,7.3,956.8,10.4,45
3/15/2025,32.8,16.8,7,958.4,9.4,38
3/16/2025,32.2,18.5,7.4,957.4,8.5,36
3/17/2025,31.3,15.5,8.4,957,5.5,32
3/18/2025,29.8,14.6,7.4,957.5,7.1,41
3/19/2025,30.3,15.3,6.3,960.4,8.5,42
3/20/2025,30.7,15.8,6.6,961.4,8.2,39
3/21/2025,28.4,15.1,6.4,960.6,11.4,53
3/22/2025,28.1,15,6.1,961.5,11,55
3/23/2025,28.1,15,5.3,962.2,7.7,44
3/24/2025,29.5,15.2,5.9,961.3,9.4,45
3/25/2025,31.6,15.6,7.5,956.7,9.3,41
3/26/2025,31.6,16.4,7,954.7,11.4,45
3/27/2025,32.4,20.5,7.8,952.7,13,46
3/28/2025,33.6,17.7,6.7,952.8,11.2,40
3/29/2025,31.2,16.7,5.9,954,9.9,42
3/30/2025,30.7,17.2,6,957.2,9.9,45
3/31/2025,32.2,17.9,5.5,956.9,8.6,37
4/1/2025,32.5,18.7,6.1,956.7,6.2,31
4/2/2025,32,16.6,6.2,958.4,5.3,30
4/3/2025,33,16.4,6.9,959.1,1.8,22
4/4/2025,33.4,16.3,7.8,957,1.3,22
4/5/2025,32.9,15.7,7.6,955.6,5.4,29
4/6/2025,33.3,18.2,7.9,957,8,34
4/7/2025,31,21.7,7.9,960.1,14.3,50
4/8/2025,32.4,19.3,8.4,961.6,14.7,54
4/9/2025,31.1,19,7.5,958.3,16.3,61
4/10/2025,27,18.8,3.4,955,17.9,77
4/11/2025,27.6,18.9,5.2,954.3,16.6,70
4/12/2025,30.7,18.3,6.1,955.8,14.5,58
4/13/2025,30.7,16.8,5.7,958.3,15.6,63
4/14/2025,30.1,16.8,6.8,958.6,14.1,59
4/15/2025,31,17.7,6.3,958.8,14.7,56
4/16/2025,31.4,18,4.4,956.8,15,55
4/17/2025,28.3,18.9,4.4,955.5,17.4,68
4/18/2025,28.6,19.5,7.3,955.6,18.9,74
4/19/2025,29.7,20.4,3.8,955.4,17.7,66
4/20/2025,31.7,20.7,5.2,955.1,17.3,58
4/21/2025,33.8,22.6,6.3,956.2,16.8,52
4/22/2025,35.3,21.6,6.7,954.7,14.8,44
4/23/2025,35.5,21.7,6.3,951.4,11.9,37
4/24/2025,33.2,18.7,6.8,952.2,11.5,39
4/25/2025,34.8,18.4,6.2,953,9.3,33
4/26/2025,35.1,18.6,6.5,954,11.1,39
4/27/2025,32.7,18.6,7.1,956.8,16.5,61
4/28/2025,26.9,18.3,5.2,957.4,16.8,75
4/29/2025,27.3,18.3,6.8,957.6,16.2,66
4/30/2025,28.3,18,6,958.7,15.8,65
5/1/2025,28.2,18.3,6.9,960,15.4,60
5/2/2025,29.1,18.5,3.5,958.1,16.3,63
5/3/2025,29.7,19.6,4.3,955.7,17.4,65
5/4/2025,28.4,20.5,5,955.5,18.3,73
5/5/2025,29.8,19.2,4.1,955.8,18.4,72
5/6/2025,28,19.3,3.3,955.9,18.8,76
5/7/2025,31,20.5,5.8,954.3,17.5,61
5/8/2025,32.9,21.4,7.9,954.9,16.2,52
5/9/2025,34.1,21.9,7.1,955.4,16,49
5/10/2025,34.5,22.9,7.1,954.8,16.8,51
5/11/2025,31.3,23.7,4.5,953.5,19.3,63
5/12/2025,32.5,21.5,5.7,952.4,20.6,68
5/13/2025,32.5,21.1,5.5,952.2,19.1,62
5/14/2025,32.8,23.5,4.3,953.5,19.8,62
5/15/2025,33.3,22.5,5.6,953.6,18.5,56
5/16/2025,32.7,21.5,6,953.8,20.3,67
5/17/2025,30.6,21,5,954.3,20.8,74
5/18/2025,29.5,21.3,4.5,955.1,20.8,79
5/19/2025,29.6,21.7,7.7,954.6,20.7,77
5/20/2025,29.7,21.7,4,952.8,21.2,81
5/21/2025,29.1,21,5.1,954.3,21.2,80
5/22/2025,29.3,21.2,5.8,953.7,20.9,76
5/23/2025,29.9,21.8,6.5,952.6,20.6,74
5/24/2025,29.9,22.3,5,953.9,20.6,71
5/25/2025,31.9,24,3.7,954.3,21.3,69
5/26/2025,30.4,23.1,6.3,952.6,22.1,80
5/27/2025,30.9,23.5,4.2,950.3,21.5,74
5/28/2025,30.8,23.5,5.3,948.5,22.3,74
5/29/2025,31.4,23.7,4.6,947,23,79
5/30/2025,32.1,23.6,5.6,946.2,22.4,74
5/31/2025,33.4,22.8,5.8,948,20.7,64
6/1/2025,33.2,21.9,7.1,948,20.5,67
6/2/2025,32.7,22,5.5,948.8,19,62
6/3/2025,31.9,23.5,3.6,950.9,20.2,69
6/4/2025,29.3,20.7,4.2,954.2,20.2,76
6/5/2025,29.8,22.2,4.2,956,19.5,68
6/6/2025,29.7,21.4,5,955.5,19.4,70
6/7/2025,31.2,21.7,4.3,954.5,20.1,68
6/8/2025,32.6,23.1,4.5,953.1,21.2,68
6/9/2025,34,23.6,5,951.8,22.1,67
6/10/2025,33.9,25.2,4.4,952,22.9,67
6/11/2025,33.4,25.6,4.8,952.7,23.1,70
6/12/2025,30.6,25.1,5.1,953.2,23.1,74
6/13/2025,31.3,25.3,4,952.6,23.6,76
6/14/2025,33.2,24.4,4.5,950.7,23.6,74
6/15/2025,31.1,24.4,5,950.6,23.3,79
6/16/2025,31.9,24,5.3,950.4,23.3,75
6/17/2025,32.1,24.3,4.5,950,23.8,81
6/18/2025,30.1,24.6,3.9,948.2,23.9,85
6/19/2025,28.9,24,3.8,949.2,24,89
